name,glrm_rp,glrm_sre,glrm_lre,glrm_gln,glrm_rln,glrm_lgre,glrm_hgre,glrm_srlge,glrm_srhge,glrm_lrlge,glrm_lrhge,class
RT24_39.jpg,0.001495361328125,5441938877.1486225,272.35714285714283,4765026.918367347,29965538.673469387,3.688102438404218,141334.57142857142,5441938776.068008,1157252674004.9602,1.4996220099554052,55553.82653061225,tapete
RT24_36.jpg,0.0016326904296875,4907289818.643193,271.4299065420561,4238024.5607476635,26744079.046728972,3.106077177348041,139840.31775700935,4907289720.1449585,1134507311373.7166,1.4912864643741397,56772.6168224299,tapete
RT24_38.jpg,0.0014495849609375,5455473799.768313,339.9157894736842,4980117.957894737,29453533.07368421,4.0215543440804336,138776.08421052631,5455473684.883999,1103714759599.8853,1.9507883685779255,66609.88421052632,tapete
RT24_17.jpg,0.0014801025390625,5445360934.275279,260.0618556701031,4936546.474226804,29849750.43298969,3.6452843408803837,143342.87628865978,5445360825.329401,1160350950806.4705,1.4306199163634694,52886.298969072166,tapete
RT24_9.jpg,0.001556396484375,5532156940.259569,161.48039215686273,4054303.0196078434,31794167.784313727,3.6248047218548414,141291.96078431373,5532156863.164543,1222021095099977,0.8895129523288028,33667.64705882353,tapete
RT24_30.jpg,0.0013275146484375,6594712727.652916,146.90804597701148,4687155.793103448,38418969.79310345,5.257810977715776,136657.01149425286,6594712644.262771,1205523692627878,1.030733618602142,24889.528735632182,tapete
RT24_3.jpg,0.0013427734375,6380795548.769607,171.7159090909091,4549167.363636363,36567422.38636363,4.33803518636734,157898.5909090909,6380795455.076386,1356582178804.1682,0.9769153444251063,35371.545454545456,tapete
RT24_26.jpg,0.001495361328125,5365612356.287735,257.1326530612245,4782547.204081632,29351826.224489797,3.6050980357762064,142988.41836734695,5365612245.486241,1147638799431.8357,1.3883422716520648,53635.836734693876,tapete
RT24_32.jpg,0.00140380859375,6064456611.797679,201.3695652173913,4203214.608695652,34534854.63043478,4.391180836597951,149824.34782608695,6064456522.236427,1263777193606.7573,1.0201911737145575,46531.260869565216,tapete
RT22_27.jpg,0.00341796875,1560669706.2508056,3104.7991071428573,2328701.026785714,6363418.071428572,0.8960138068276977,104504.16964285714,1560669643.054869,600100781012.2506,10.766802122627253,918443.9241071428,piso
RT22_19.jpg,0.0029754638671875,1833538532.6927488,4651.5641025641025,3497995.4153846153,7543449.63076923,0.9755360133659451,125098.7076923077,1833538461.7491307,729935974486.6235,14.54508528586883,1504420.717948718,piso
