name,img_avg,img_std,img_kur,img_med,hist_0_64_count,hist_0_64_avg,hist_0_64_std,hist_0_64_kur,hist_0_64_med,hist_64_128_count,hist_64_128_avg,hist_64_128_std,hist_64_128_kur,hist_64_128_median,hist_128_192_count,hist_128_192_avg,hist_128_192_std,hist_128_192_kur,hist_128_192_median,hist_192_256_count,hist_192_256_avg,hist_192_256_std,hist_192_256_kur,hist_192_256_median,glcm_3_0_asm,glcm_3_0_entropy,glcm_3_0_contrast,glcm_3_0_variance,glcm_3_0_homogeneity,glcm_0_3_asm,glcm_0_3_entropy,glcm_0_3_contrast,glcm_0_3_variance,glcm_0_3_homogeneity,glcm_3__3_asm,glcm_3__3_entropy,glcm_3__3_contrast,glcm_3__3_variance,glcm_3__3_homogeneity,class
RT7_4.jpg,124.83033752441406,38.84286520922575,3.1215125356674576,128.0,5087,45.232553567918224,12.804405095144968,2.5717134170610874,47,27613,103.93528410531272,17.30998677670758,2.284055468336086,108,30171,150.22491796758476,16.525844512366685,2.492067402326578,147,2665,205.7718574108818,11.085344755939648,3.4275297805703584,203,15.864864705830467,3.983072269722264,1743.1886792452833,222.52487135506053,7.6587101031824245,21.31677206776473,4.617008995850531,2362.6158663883116,293.84968684759923,8.99287186175444,22.005669247787605,4.691020064739396,2726.2842920354014,329.1847345132741,8.57598107343999,folhas
RT7_40.jpg,127.28189086914062,39.956347270021894,2.9127737981661146,132.0,5059,47.35876655465507,11.285221992052534,2.479101871150302,49,24782,101.81191994189331,17.86264886743118,2.0280928456156153,105,32630,151.46975176218203,15.949796775914177,2.3897657449182574,149,3065,207.6336052202284,12.829642196279975,3.0602655957466243,205,14.331751130737347,3.7857299336769055,1576.7993393889326,205.44838976052824,7.116264605014652,17.03028846153848,4.126777006519553,2129.1798076923064,268.06634615384576,7.474259094037631,20.1759360228262,4.491763130756808,2689.4193194291965,325.62129527991226,7.778834536690107,folhas
RT7_15.jpg,126.66574096679688,38.9595783899969,2.983244891161035,127.0,3899,48.6391382405745,11.412833229095966,2.751026384879409,51,29501,103.00054235449646,17.401309118220873,2.189842479515981,107,28611,151.65708993044632,16.642855691084428,2.2835489266531943,149,3525,208.18212765957446,12.54799044244709,3.136503680027606,206,15.63248996058632,3.95379437510176,1013.2610379550728,152.041828040279,9.26425800660307,18.193702632490947,4.265407674829095,1292.2460595446555,186.10595446584932,9.887729882911165,20.152308249460763,4.489132237911996,1570.1564027370487,220.72140762463417,10.093640834272783,folhas
RT7_8.jpg,131.44491577148438,39.534479881554105,2.9063411606280187,135.0,4336,46.23685424354244,11.667102486753986,2.6757356648751087,48.0,23080,103.17036395147313,17.397676601510724,2.1995470415167806,106.0,34769,153.89979579510484,16.72342842333049,2.1680186383246545,152,3351,203.45478961504028,9.307113322401493,4.457250038959912,201,13.640267905481371,3.6932733320837996,749.8249510124108,112.41802743305027,8.979390140094845,14.860232641909704,3.8548972284497682,963.5181422351234,139.05805515239476,9.226346372514298,15.159849426597635,3.893565130647956,1218.0148902821306,166.43808777429496,8.919264115968508,folhas
RT7_24.jpg,127.87815856933594,38.73114109934222,3.0839652035879603,129.0,3896,45.158624229979466,13.018481680664523,2.4958674452431313,47.0,28046,104.08789132140056,16.84971626051735,2.362099504273446,108,30066,151.68123461717553,16.790245828552706,2.254835602111985,149,3528,205.4954648526077,10.51406132388614,3.219634778499247,203.0,14.794006680581367,3.8462977888589656,743.6706128133693,120.64275766016719,9.503244528005778,13.757494000232752,3.709109596686616,793.0042046250876,127.86054660126135,8.38860248917347,15.542857306903189,3.942443063241775,1077.5982428115028,162.35543130990425,8.760442676125727,folhas
RT7_28.jpg,126.7220458984375,38.66902177000615,3.105742052133539,127.0,3938,45.582021330624684,13.122892753757517,2.4469974245992323,48,29236,103.91127377206185,16.664072838179706,2.3575654143309754,107.0,28861,151.28065555594054,16.84378790300996,2.3153566958982235,148,3501,206.0248500428449,11.293371482502165,3.221316217057396,203,13.606874996822746,3.6887497877767133,775.9864038069342,122.39564921821892,8.62087934493712,15.06346549251956,3.8811680577526606,921.4354354354368,143.88438438438436,8.88588998431886,16.5798388750924,4.071834829053408,1210.5636057287275,178.1053074978936,9.073223761807041,folhas
RT7_11.jpg,129.22608947753906,39.69071721727753,3.099432739725131,129.0,3683,48.958457778984524,10.534837115882292,2.6632960960991987,51,27592,103.37046970136271,17.477590469842564,2.226429211751373,107.0,30087,151.42769302356498,16.87636674493364,2.3089257526403606,148,4174,210.93531384762818,15.190069330447551,2.4508154432586347,207,17.25818765217781,4.154297492016888,1485.6141732283438,201.03499562554657,9.101281398185135,19.093658541814786,4.369629108038208,1636.8005671077515,221.24669187145548,9.489683265679957,21.55156281277709,4.64236607914295,2137.304812834222,275.4716577540102,9.498293084998602,folhas
RT7_21.jpg,129.05307006835938,38.0683814953847,3.0346453548955936,130.0,3510,46.78005698005698,12.787544301113833,2.646737247498385,50,27708,104.06406092103364,16.94918543526507,2.327957541526494,108.0,31094,152.6648871164855,16.718194461213812,2.1588558435754024,150,3224,205.66222084367246,11.574029667155521,3.1853135767545697,203.0,17.832463217845255,4.222850129692653,1003.4377076411956,159.16029900332177,10.2630571211555,18.062978632169933,4.250056309294023,1068.523727351165,170.84296807592744,9.80112907186139,24.90727490376663,4.99071887645123,1589.686615886836,238.99238302502738,12.077712379426128,folhas
RT7_20.jpg,122.65510559082031,40.24183766449188,3.161195685983779,126.0,6077,42.01497449399375,14.56852345961857,2.2161894705311864,44,27977,104.25260035028774,17.51770813826306,2.2536352485412814,109,29047,150.25593004441077,16.445789810177445,2.409043720447949,147,2435,206.09486652977412,11.537176624571824,3.3117289585369103,203,10.975444801148365,3.312920886641932,1193.2703238598806,153.81493721083947,6.292568876085541,11.08783568071638,3.3298401884649627,1205.5660762942778,159.48433242506795,6.017424954030244,12.704956544595616,3.564401288378683,1615.5085803432123,201.9812792511701,6.336072982390961,folhas
RT7_39.jpg,132.26834106445312,39.636914127259885,2.9504305518685263,137.0,4115,48.27630619684083,10.478290168958798,2.637982374004005,50,22305,102.35095270118808,17.803474855295068,2.0690678496729005,105,35184,152.70102887676217,16.158135944811143,2.3017696247378123,150.0,3932,207.0473041709054,12.183904139371222,3.2358146677100743,204.0,15.798747668628328,3.974763850674443,1619.7914893617033,210.91489361702116,7.951176245129512,17.633881304505586,4.199271520693272,2187.3597678916835,272.51450676982563,7.749070882201641,18.64305511557359,4.317760428228225,2570.502590673574,308.94404145077726,7.366097105253498,folhas
