name,img_avg,img_std,img_kur,img_med,hist_0_64,hist_0_64_avg,hist_0_64_std,hist_0_64_kur,hist_0_64_med,hist_64_128,hist_64_128_avg,hist_64_128_std,hist_64_128_kur,hist_64_128_median,hist_128_192,hist_128_192_avg,hist_128_192_std,hist_128_192_kur,hist_128_192_median,hist_192_256,hist_192_256_avg,hist_192_256_std,hist_192_256_kur,hist_192_256_median,class
RT8_37.jpg,130.34683227539062,23.98912309869019,4.2055418588238975,130.0,445,53.55505617977528,8.689060783847419,5.243136136873063,56,28784,111.07573652028906,13.006393621478912,3.7766195823092796,114.0,35308,144.98057097541633,13.705907111829283,3.933851607055052,142.0,999,202.60260260260262,9.404153840305753,4.847904577687598,200,tijolos
RT8_21.jpg,133.06036376953125,28.205360656071207,4.704324178233479,130.0,127,53.661417322834644,7.913440919195783,4.156100192552172,55,29732,111.15491726086371,11.11715561669683,3.717685738760228,112.0,32085,145.0473429951691,14.628558892014247,4.070645163472257,141,3592,210.11330734966592,12.749420612568716,2.7430679319131266,208.0,tijolos
RT8_29.jpg,130.94679260253906,27.496680467381427,4.5715090572171455,130.0,365,53.441095890410956,9.22728627401025,4.4802339396195805,56,29491,109.65399613441389,13.476857292688392,3.224683287020652,112,33184,144.89347275795564,14.242517444017945,3.984907327400863,141.0,2496,208.44230769230768,13.017480036323093,3.101189341736776,206.0,tijolos
RT8_27.jpg,133.90313720703125,27.62778439104293,4.940964082401331,131.0,241,50.72199170124481,11.351279928563015,4.955525488495474,54,29199,112.27785198123223,11.57466637981905,4.224657109197631,115,33047,146.4156201773232,13.943599546487194,3.5879604457790797,144,3049,211.95605116431616,13.83247290658079,2.598707887897905,211,tijolos
RT8_8.jpg,123.90505981445312,34.46951703786312,3.7782685587527998,115.0,315,54.86349206349206,8.67919581504852,5.86707100505366,58,43740,104.74419295839049,13.45885354755734,2.564956036498202,105.0,17102,152.41737808443457,18.948782458497327,1.9184628251061187,149,4379,208.90774149349167,12.41606564328366,2.730523728210367,207,tijolos
RT8_23.jpg,131.310546875,26.88739343425769,4.645145401706594,130.0,329,53.97872340425532,8.894169620789985,6.573718702842493,56,29208,110.18912626677623,12.881695226861654,3.3958305240022133,113.0,33577,144.90213539029693,14.053526984640904,4.232890515300022,142,2422,208.10322047894303,12.698586840953382,3.268263519243287,205,tijolos
RT8_12.jpg,127.63920593261719,26.56960956337635,3.9114901267847983,126.0,329,53.87537993920973,8.469077644639821,4.77782814134858,56,33975,108.44014716703458,13.271179819026472,3.145986208681053,111,29766,146.5002687630182,14.320930398085984,3.32680910719963,144,1466,206.17803547066848,11.893168737667521,3.463464887363493,203,tijolos
RT8_35.jpg,132.11610412597656,24.333619249265112,4.5927254725184685,132.0,329,55.05775075987842,7.267095642128041,4.759917701101145,57,26776,111.33029578727218,12.954415322274707,4.163624925988956,114.0,36982,144.95995349088747,13.344962977094289,4.14458881332899,142,1449,205.90614216701172,11.627839620354258,3.6698943218374525,203,tijolos
RT8_36.jpg,131.1167449951172,23.390777946202164,4.419131733337246,131.0,440,53.231818181818184,7.850011178474471,4.711203332912202,55.0,28040,112.16151925820257,12.408281834574186,4.396072871707688,115.0,36051,144.8242212421292,13.742200501335613,3.9214627839286003,142,1005,202.36616915422886,9.173257607345432,5.194003610585569,200,tijolos
RT8_13.jpg,131.17254638671875,27.214335339957856,3.8388829173653547,130.0,374,54.07219251336898,8.43696875831545,4.4743902848151835,57,29041,108.89717984917874,14.185453811171072,3.0980517611366363,112,34477,147.1411955796618,14.710698435112617,2.948417794470594,144,1644,207.31812652068126,12.303887519838687,3.555475488557051,205.0,tijolos
RT8_17.jpg,126.13967895507812,27.500728436303277,4.684581101059018,123.0,215,55.53953488372093,7.102524874700563,7.465852579509383,57,37816,108.79008885127988,12.869519542778438,3.1642708231378007,111.0,25273,145.4458513037629,15.409630651685248,3.5751827173220065,141,2232,208.28405017921148,12.581993069975043,3.040450427261336,206.0,tijolos
RT8_34.jpg,129.7176055908203,24.89478729627736,4.876798540982806,129.0,341,55.02639296187683,7.675929233523976,5.906614506673417,57,30689,110.97253087425462,12.426572453027557,4.259923805385182,113,32831,144.10669793792454,13.833355307794095,4.547980357169536,140,1675,206.33194029850748,12.436443949487302,3.372876299537414,203,tijolos
RT8_31.jpg,132.27342224121094,30.345105785510494,3.681910672841087,125.0,131,52.29770992366412,10.130452686740409,3.976865247331383,56,35461,111.2927159414568,10.986562587455794,3.9184850123104265,113,25686,149.4218640504555,18.073445515107814,2.3072820401120646,144,4258,206.01667449506812,10.908484026282887,3.3629844084224247,204,tijolos
RT8_25.jpg,135.12330627441406,26.210768548720242,4.730286884890157,132.0,169,53.94082840236686,8.745545901725553,5.393750759710419,57,26844,113.14345850096856,11.647012087245487,4.443062269427887,116.0,35719,146.23780061031943,14.171047324481183,3.5467568431441014,144,2804,208.85663338088446,12.763447388250848,3.2316817132540447,207.0,tijolos
RT8_24.jpg,130.68479919433594,32.131636790084315,4.7294669125364805,124.0,258,54.042635658914726,8.08575896775547,4.0293348691973065,57,37612,111.32516218228226,11.700008495090326,3.7989208169659356,113.0,22463,145.01028357743846,16.906272158842842,3.3113116730648198,139,5203,212.5865846626946,13.529466777449008,2.481433012909605,211,tijolos
RT8_22.jpg,129.7200927734375,26.44924527176022,4.685088358795597,128.0,305,53.91475409836065,8.08177441241397,5.178943387323953,56,31859,110.52314887472927,12.732835803276034,3.5533252955182517,113,31090,144.48018655516242,14.487152472600481,4.142546157007328,141,2282,206.76862401402278,11.888046993670553,3.471379737457082,204,tijolos
RT8_6.jpg,124.98687744140625,30.602919548523687,5.029044048094387,119.0,164,52.390243902439025,10.433259815110258,5.593435437750991,55.5,42040,108.13251665080875,12.597527666842204,2.848612664011457,109.0,19666,145.60510525780535,17.191373210481018,3.038599415585608,139,3666,210.9075286415712,13.259891951778851,2.69112022989803,209,tijolos
RT8_16.jpg,125.10359191894531,28.473203794409347,5.076508009393172,121.0,171,55.801169590643276,6.869900147438513,5.251689775400313,58,39970,108.24233174881161,12.54945110861388,3.01716216148772,110,22786,145.44158693934872,15.885254488666122,3.4717547766073267,140,2609,210.3369106937524,14.051188947960998,2.760001862907978,208,tijolos
